"institution_name","institution_city","institution_state","institution_zip"
"University of Massachusetts - Boston","Boston","MA","""02125-3393"""
"Massachusetts Institute of Technology","Cambridge","MA","""02139-4307"""
"University of Massachusetts - Worcester","Worcester","MA","""01655"""
"Mount Holyoke College","South Hadley","MA","""01075-1489"""
"Northeastern University","Boston","MA","""02115"""
"Regis College","Weston","MA","""02493-1571"""
"Suffolk University","Boston","MA","""02108"""
"Tufts University","Medford","MA","""02155-5555"""
"Wellesley College","Wellesley","MA","""02481-8203"""
"Wheaton College","Norton","MA","""02766"""
"Worcester Polytechnic Institute","Worcester","MA","""01609-2280"""
"Aquinas College","Grand Rapids","MI","""49506-1799"""
"Calvin College","Grand Rapids","MI","""49546"""
"Central Michigan University","Mount Pleasant","MI","""48859"""
"Grand Valley State University","Allendale","MI","""49401-9403"""
"Michigan State University","East Lansing","MI","""48824-1046"""
"Gustavus Adolphus College","Saint Peter","MN","""56082-1498"""
"Macalester College","St. Paul","MN","""55105-1899"""
"University of Minnesota - Twin Cities","Minneapolis","MN","""55455-0213"""
"University of Minnesota - Crookston","Crookston","MN","""56716-5001"""
"Minnesota State University - Moorhead","Moorhead","MN","""56563"""
"St. Olaf College","Northfield","MN","""55057-1098"""
"Winona State University","Winona","MN","""55987-5838"""
"University of Mississippi","University","MS","""38677-1848"""
"College of the Ozarks","Point Lookout","MO","""65726"""
"Saint Louis University-Main Campus","Saint Louis","MO","""63103-2097"""
"Stephens College","Columbia","MO","""65215"""
"Washington University in St Louis","Saint Louis","MO","""63130"""
"The University of Montana","Missoula","MT","""59812"""
"Rocky Mountain College","Billings","MT","""59102-1796"""
"Concordia University","Seward","NE","""68434"""
"Creighton University","Omaha","NE","""68178"""
"University of Nebraska at Omaha","Omaha","NE","""68182-0225"""
"University of Nebraska - Lincoln","Lincoln","NE","""68588-0419"""
"College of Saint Mary","Omaha","NE","""68106"""
"Wayne State College","Wayne","NE","""68787"""
"University of Nevada - Las Vegas","Las Vegas","NV","""89154"""
"University of Nevada - Reno","Reno","NV","""89557"""
"University of New Hampshire","Durham","NH","""03824-3547"""
"Keene State College","Keene","NH","""03435-1506"""
"Saint Anselm College","Manchester","NH","""03102-1310"""
"Eastwick College","Hackensack","NJ","""07601"""
"Drew University","Madison","NJ","""07940"""
"Monmouth University","West Long Branch","NJ","""07764-1898"""
"Stockton University","Galloway","NJ","""08205"""
"University of New Mexico","Albuquerque","NM","""87131"""
"New Mexico State University","Las Cruces","NM","""88003-8001"""
"Adelphi University","Garden City","NY","""11530-0701"""
"Bard College","Annandale-On-Hudson","NY","""12504"""
"Barnard College","New York","NY","""10027-6598"""
"Clarkson University","Potsdam","NY","""13699-5557"""
"Colgate University","Hamilton","NY","""13346-1398"""
"Columbia University in the City of New York","New York","NY","""10027"""
"Concordia College","Bronxville","NY","""10708-1998"""
"Cornell University","Ithaca","NY","""14853"""
"Fordham University","Bronx","NY","""10458"""
"Hartwick College","Oneonta","NY","""13820-4020"""
"Hofstra University","Hempstead","NY","""11549"""
"Iona College","New Rochelle","NY","""10801-1890"""
"Ithaca College","Ithaca","NY","""14850-7188"""
"The Juilliard School","New York","NY","""10023-6588"""
"Manhattan College","Riverdale","NY","""10471-4098"""
"Mount Saint Mary College","Newburgh","NY","""12550"""
"New York University","New York","NY","""10012-1091"""
"Pace University - New York","New York","NY","""10038-1598"""
"Pratt Institute-Main","Brooklyn","NY","""11205"""
"University of Rochester","Rochester","NY","""14627"""
"Rockefeller University","New York","NY","""10021-6399"""
"St. Bonaventure University","St. Bonaventure","NY","""14778"""
"Sarah Lawrence College","Bronxville","NY","""10708"""
"Skidmore College","Saratoga Springs","NY","""12866"""
"St. John's University - New York","Queens","NY","""11439"""
"SUNY Albany","Albany","NY","""12222"""
"SUNY at Binghamton","Binghamton","NY","""13902-6000"""
"SUNY Buffalo","Buffalo","NY","""14260-1660"""
"SUNY Stony Brook","Stony Brook","NY","""11794-7028"""
"SUNY Polytechnic Institute","Utica","NY","""13504-3050"""
"SUNY College at Buffalo","Buffalo","NY","""14222"""
"SUNY Oneonta","Oneonta","NY","""13820-4015"""
"Syracuse University","Syracuse","NY","""13244-1100"""
"Vassar College","Poughkeepsie","NY","""12604"""
"Appalachian State University","Boone","NC","""28608"""
"Davidson College","Davidson","NC","""28035"""
"Duke University","Durham","NC","""27708"""
"Elon University","Elon","NC","""27244-2010"""
"Methodist University","Fayetteville","NC","""28311-1420"""
"College of Wilmington","Wilmington","NC","""28403"""
"University of North Carolina at Asheville","Asheville","NC","""28804-8510"""
"University of North Carolina at Chapel Hill","Chapel Hill","NC","""27599"""
"University of North Carolina at Greensboro","Greensboro","NC","""27402-6170"""
"North Carolina State University","Raleigh","NC","""27695"""
"Salem College","Winston Salem","NC","""27101"""
"Wake Forest University","Winston Salem","NC","""27106"""
"University of North Dakota","Grand Forks","ND","""58202-8193"""
"University of Akron","Akron","OH","""44325-4702"""
"Bowling Green State University","Bowling Green","OH","""43403"""
"Capital University","Columbus","OH","""43209-2394"""
"Case Western Reserve University","Cleveland","OH","""44106"""
"University of Cincinnati","Cincinnati","OH","""45221-0063"""
"Denison University","Granville","OH","""43023-0713"""
"Kent State University","Kent","OH","""44242-0001"""
"Miami University","Oxford","OH","""45056"""
"Oberlin College","Oberlin","OH","""44074"""
"Ohio Northern University","Ada","OH","""45810-1599"""
"Ohio State University","Columbus","OH","""43210"""
"Ohio University - Main Campus","Athens","OH","""45701-2979"""
"Otterbein University","Westerville","OH","""43081"""
"University of Toledo","Toledo","OH","""43606-3390"""
"Xavier University","Cincinnati","OH","""45207-1092"""
"Oklahoma State University","Stillwater","OK","""74078"""
"University of Oklahoma","Norman","OK","""73019"""
"University of Tulsa","Tulsa","OK","""74104-3189"""
"Oregon State University","Corvallis","OR","""97331"""
"University of Oregon","Eugene","OR","""97403"""
"University of Portland","Portland","OR","""97203-5798"""
"Bucknell University","Lewisburg","PA","""17837"""
"Carnegie Mellon University","Pittsburgh","PA","""15213-3890"""
"Drexel University","Philadelphia","PA","""19104"""
"Duquesne University","Pittsburgh","PA","""15282"""
"Haverford College","Haverford","PA","""19041-1392"""
"Lehigh University","Bethlehem","PA","""18015"""
"Pennsylvania State University","University Park","PA","""16802-1589"""
"Temple University","Philadelphia","PA","""19122-6096"""
"Ursinus College","Collegeville","PA","""19426-1000"""
"Villanova University","Villanova","PA","""19085-1699"""
"Brown University","Providence","RI","""02912"""
"Johnson & Wales University","Providence","RI","""02903-3703"""
"University of Rhode Island","Kingston","RI","""02881"""
"Rhode Island School of Design","Providence","RI","""02903"""
"The Citadel","Charleston","SC","""29409"""
"Clemson University","Clemson","SC","""29634"""
"The University of Tennessee - Chattanooga","Chattanooga","TN","""37403-2598"""
"The University of Tennessee - Martin","Martin","TN","""38238-5021"""
"Vanderbilt University","Nashville","TN","""37240"""
"Baylor University","Waco","TX","""76798"""
"Grayson College","Denison","TX","""75020-8299"""
"University of Houston","Houston","TX","""77204-2018"""
"Rice University","Houston","TX","""77005"""
"Texas A&M University","College Station","TX","""77843"""
"University of Utah","Salt Lake City","UT","""84112-9008"""
"University of Vermont","Burlington","VT","""05405-0160"""
"George Mason University","Fairfax","VA","""22030-4444"""
"James Madison University","Harrisonburg","VA","""22807"""
"Virginia Commonwealth University","Richmond","VA","""23284-2512"""
"Seattle University","Seattle","WA","""98122-4340"""
"University of Washington","Seattle","WA","""98195-4550"""
"West Virginia University","Morgantown","WV","""26506-6201"""
"University of Wisconsin - Milwaukee","Milwaukee","WI","""53201"""
"Marquette University","Milwaukee","WI","""53201-1881"""
"University of Wisconsin - Green Bay","Green Bay","WI","""54311-7001"""
"University of Wisconsin - Madison","Madison","WI","""53706"""
"University of Wisconsin - Milwaukee","Milwaukee","WI","""53211"""
"University of Wyoming","Laramie","WY","""82071"""
"Stanford University","Stanford","CA","""94305"""
"Purdue University","West Lafayette","IN","""47907-2040"""
"Antioch University","Yellow Springs","OH","""45387"""
